system,metal,dope,bader,BaderOcc,Rel_Occ,d_EF,d_occ,up d-occ,down d-occ,dup-Ef,ddown-Ef,d-edge,d-fr ,d-fr up,d-fr down,t2g at fermi,eg at fermi,t2g up fermi,t2g dn fermi,eg up fermi,eg dwn fermi,t2g occ,eg occ,t2g up occ,t2g down occ,eg up occ,eg down occ,zc-occ,zc fermi,zc up fermi,zc dwn fermi,zc up occ,zc down occ,fwhm,d -3,d3 occ,d3up,d3dwn,d3upocc,d3dwnocc,d-band,up d-center,down d-center,Wd corr. Dband,t2g center,eg center,t2g-up center,t2g-down center,eg-up center,eg-down center,ZC center,zc up center,zc down center,zs,ebs,eas,eds,ed3s,d-center,up d-center,down d-center,Wd corr. Dband,t2g center,eg center,t2g-up center,t2g-down center,eg-up center,eg-down center,ZC center,zc up center,zc down center,ed,ea,eb,ez,Dd,Dwd,Ddup,Dddwn,Da,Db,Daup,Dadwn,Dbup,Dbdwn,Dz,Dzup,Dzdwn,Dd3,Dd3up,Dd3dwn,Dd,Dwd,Ddup,Dddwn,Da,Db,Daup,Dadwn,Dbup,Dbdwn,Dz,Dzup,Dzdwn,pc,poc,pf,y
1,2,1,0.93,8.07,0.052,1.874,7.269,4.079,3.189,0.035,1.839,0.286,0.421,0.217,0.625,1.271,0.602,0.036,1.235,0,0.602,3.668,3.581,2.244,1.424,1.834,1.747,4.5,1.864,0.036,1.829,2.677,1.824,0.824,-0.987,5.927,-1.262,-0.635,3.333,2.594,-1.897,-2.102,-1.635,-0.733,-2.477,-1.31,-2.536,-2.385,-1.571,-1.036,-1.34,-1.596,-0.969,-1.459,-1.323,-2.511,-1.954,-1.066,-1.042,-1.464,-0.617,0.247,-0.983,-1.122,-1.489,-0.474,-1.411,-0.83,-0.82,-1.327,-0.318,-1.146,-1.21,-1.24,-1.011,-6.976,29.429,-2.786,-5.169,-3.731,-3.192,-1.507,-3.004,-1.3,-2.105,-5.488,-2.017,-5.736,-6.003,-2.641,-4.088,-3.83,-9.92,-1.94,-1.95,-1.48,-2.73,-0.88,-0.6,-1.17,-1.69,-3.36,-1.68,-1.88,-6.8,1.77,1.18,0.34
1,2,1,0.907,8.093,0.03,1.959,7.275,4.055,3.22,0.02,1.939,0.257,0.444,0.266,0.624,1.294,0.664,0.02,1.274,0,0.664,3.707,3.568,2.244,1.483,1.831,1.737,4.538,1.955,0.02,1.934,2.662,1.876,0.789,-0.954,5.968,-1.211,-0.628,3.337,2.631,-1.859,-2.05,-1.62,-0.69,-2.407,-1.289,-2.476,-2.304,-1.532,-1.033,-1.29,-1.529,-0.942,-1.392,-1.302,-2.442,-1.908,-1.023,-1.011,-1.402,-0.618,0.28,-0.957,-1.097,-1.421,-0.489,-1.371,-0.821,-0.79,-1.255,-0.321,-1.101,-1.147,-1.19,-0.952,-7.196,25.982,-2.892,-5.21,-3.874,-3.253,-1.579,-3.033,-1.336,-2.116,-5.744,-2.121,-5.844,-6.257,-2.755,-4.192,-3.91,-10.55,-1.98,-1.99,-1.54,-2.77,-0.91,-0.64,-1.2,-1.68,-3.52,-1.74,-1.99,-6.94,1.77,0.63,0.41
1,2,1,0.906,8.094,0.028,1.865,7.27,4.07,3.2,0.014,1.851,0.272,0.429,0.24,0.619,1.214,0.651,0.014,1.201,0,0.651,3.698,3.572,2.237,1.461,1.833,1.739,4.527,1.858,0.014,1.844,2.672,1.855,0.85,-0.968,5.946,-1.234,-0.628,3.337,2.609,-1.876,-2.074,-1.626,-0.708,-2.433,-1.299,-2.502,-2.329,-1.553,-1.033,-1.31,-1.56,-0.948,-1.42,-1.313,-2.469,-1.93,-1.042,-1.019,-1.426,-0.608,0.276,-0.965,-1.103,-1.451,-0.476,-1.387,-0.817,-0.8,-1.284,-0.31,-1.117,-1.17,-1.206,-0.976,-7.134,26.341,-2.854,-5.263,-3.832,-3.238,-1.542,-3.069,-1.322,-2.129,-5.659,-2.081,-5.984,-6.142,-2.704,-4.155,-3.88,-10.27,-1.96,-1.97,-1.52,-2.75,-0.89,-0.63,-1.18,-1.68,-3.46,-1.71,-1.96,-6.92,1.77,0.49,0.39
1,2,1,0.876,8.124,-0.002,1.375,7.315,4.1,3.215,0.045,1.33,-0.17,0.406,0.234,0.579,0.94,0.435,0.042,0.899,0,0.431,3.72,3.595,2.269,1.451,1.831,1.764,4.522,1.33,0.041,1.289,2.672,1.849,1.431,-0.978,5.952,-1.246,-0.635,3.346,2.607,-1.956,-2.149,-1.712,-0.718,-2.535,-1.358,-2.579,-2.465,-1.617,-1.09,-1.38,-1.63,-1.027,-1.49,-1.368,-2.56,-2.009,-1.054,-1.064,-1.482,-0.643,0.305,-1.006,-1.155,-1.511,-0.498,-1.435,-0.873,-0.84,-1.339,-0.343,-1.166,-1.229,-1.263,-1.021,-6.875,23.984,-2.767,-5,-3.698,-3.113,-1.502,-2.914,-1.276,-2.021,-5.383,-1.996,-5.391,-6.083,-2.686,-4.103,-3.74,-10.18,-1.91,-1.88,-1.47,-2.65,-0.88,-0.59,-1.13,-1.62,-3.28,-1.64,-1.8,-6.84,1.78,1.15,0.35
1,2,1,0.935,8.065,0.057,1.864,7.264,4.064,3.201,0.02,1.844,0.27,0.439,0.26,0.62,1.197,0.667,0.02,1.177,0,0.667,3.694,3.57,2.231,1.463,1.832,1.738,4.523,1.856,0.02,1.836,2.667,1.856,0.826,-0.966,5.942,-1.227,-0.632,3.334,2.609,-1.876,-2.069,-1.632,-0.706,-2.434,-1.297,-2.498,-2.338,-1.546,-1.036,-1.31,-1.552,-0.955,-1.417,-1.31,-2.467,-1.928,-1.038,-1.01,-1.411,-0.606,0.29,-0.961,-1.087,-1.44,-0.48,-1.366,-0.805,-0.79,-1.264,-0.305,-1.106,-1.161,-1.186,-0.962,-7.192,25.048,-2.88,-5.282,-3.844,-3.284,-1.549,-3.048,-1.341,-2.159,-5.725,-2.11,-6.085,-6.154,-2.717,-4.128,-3.87,-10.28,-1.96,-1.96,-1.52,-2.75,-0.89,-0.63,-1.18,-1.68,-3.45,-1.72,-1.94,-6.94,1.78,0.67,0.4
1,2,1,0.927,8.073,0.049,1.891,7.28,4.068,3.212,0.016,1.875,0.281,0.431,0.241,0.622,1.273,0.618,0.016,1.258,0,0.618,3.705,3.576,2.236,1.469,1.832,1.743,4.538,1.885,0.016,1.869,2.671,1.867,0.8,-0.966,5.959,-1.233,-0.626,3.337,2.622,-1.873,-2.073,-1.621,-0.705,-2.428,-1.297,-2.501,-2.318,-1.551,-1.031,-1.3,-1.558,-0.944,-1.409,-1.31,-2.466,-1.926,-1.039,-1.007,-1.414,-0.598,0.294,-0.961,-1.08,-1.446,-0.474,-1.364,-0.795,-0.78,-1.266,-0.295,-1.103,-1.162,-1.178,-0.952,-7.229,24.762,-2.877,-5.371,-3.855,-3.311,-1.546,-3.099,-1.343,-2.192,-5.818,-2.11,-6.329,-6.168,-2.707,-4.186,-3.89,-10.33,-1.96,-1.98,-1.53,-2.76,-0.89,-0.63,-1.18,-1.69,-3.49,-1.71,-1.98,-6.94,1.78,0.59,0.39
1,2,2,0.804,8.196,-0.073,0.901,7.389,3.694,3.695,0.455,0.447,-0.185,0.461,0.461,0.461,0.276,0.626,0.138,0.137,0.316,0.31,3.879,3.51,1.939,1.94,1.755,1.755,4.743,0.891,0.449,0.442,2.371,2.372,0.525,-0.781,6.159,-0.781,-0.782,3.079,3.08,-1.733,-1.732,-1.733,-0.486,-2.171,-1.249,-2.17,-2.171,-1.248,-1.249,-1.02,-1.023,-1.024,-1.02,-1.249,-2.171,-1.733,-0.781,-0.95,-0.95,-0.95,0.376,-0.869,-1.08,-0.87,-0.868,-1.079,-1.08,-0.64,-0.641,-0.639,-0.95,-0.869,-1.069,-0.64,-7.778,19.652,-3.888,-3.889,-4.464,-3.25,-2.229,-2.235,-1.627,-1.625,-7.411,-3.699,-3.712,-7.882,-3.943,-3.939,-4.26,-15.2,-2.13,-2.13,-1.79,-2.81,-0.89,-0.89,-1.41,-1.41,-4.65,-2.32,-2.32,-7.32,1.76,0.31,0.3
1,2,2,0.803,8.198,-0.075,0.78,7.393,3.696,3.696,0.391,0.389,-0.189,0.475,0.475,0.475,0.263,0.59,0.132,0.132,0.296,0.294,3.862,3.521,1.931,1.931,1.76,1.761,4.727,0.847,0.424,0.423,2.363,2.363,0.506,-0.786,6.174,-0.785,-0.786,3.087,3.087,-1.727,-1.727,-1.728,-0.486,-2.178,-1.239,-2.178,-2.178,-1.238,-1.239,-1.03,-1.028,-1.028,-1.03,-1.239,-2.178,-1.727,-0.786,-0.928,-0.928,-0.928,0.404,-0.86,-1.06,-0.859,-0.86,-1.06,-1.061,-0.63,-0.628,-0.629,-0.928,-0.86,-1.051,-0.63,-7.967,18.3,-3.983,-3.983,-4.491,-3.322,-2.248,-2.245,-1.66,-1.66,-7.503,-3.763,-3.757,-7.86,-3.93,-3.929,-4.28,-15.21,-2.14,-2.14,-1.77,-2.84,-0.89,-0.89,-1.42,-1.42,-4.59,-2.3,-2.3,-7.26,1.77,0.35,0.31
1,2,2,0.847,8.153,-0.031,2.308,7.356,3.888,3.468,0.135,2.173,-0.002,0.488,0.429,0.547,0.973,1.335,0.119,0.854,0.016,1.319,3.928,3.429,2.082,1.846,1.806,1.622,4.686,2.293,0.135,2.158,2.541,2.146,1.324,-0.856,6.08,-1.025,-0.657,3.294,2.785,-1.72,-1.814,-1.614,-0.497,-2.121,-1.26,-2.192,-2.041,-1.379,-1.129,-1.05,-1.185,-0.902,-1.074,-1.273,-2.13,-1.731,-0.887,-0.906,-1.094,-0.718,0.416,-0.83,-1.028,-1.02,-0.639,-1.211,-0.844,-0.63,-0.856,-0.41,-0.927,-0.853,-1.022,-0.668,-8.119,17.683,-3.554,-4.83,-4.733,-3.336,-2.041,-2.889,-1.491,-1.922,-7.438,-2.968,-5.234,-7.099,-3.214,-4.239,-4.28,-14.79,-2.14,-2.15,-1.85,-2.72,-0.95,-0.9,-1.31,-1.44,-4.46,-2.14,-2.38,-6.95,1.77,0.82,0.4
1,2,2,0.843,8.157,-0.035,1.149,7.389,3.669,3.72,0.703,0.446,-0.149,0.479,0.484,0.473,0.391,0.757,0.223,0.169,0.481,0.277,3.886,3.503,1.93,1.956,1.739,1.764,4.735,1.137,0.696,0.441,2.343,2.391,1.162,-0.825,6.147,-0.704,-0.934,2.918,3.228,-1.692,-1.68,-1.704,-0.449,-2.127,-1.211,-2.117,-2.135,-1.196,-1.225,-0.99,-0.975,-1.008,-0.99,-1.211,-2.127,-1.692,-0.836,-0.889,-0.866,-0.911,0.446,-0.817,-1.003,-0.795,-0.838,-0.98,-1.027,-0.58,-0.553,-0.605,-0.889,-0.817,-0.995,-0.581,-8.312,16.567,-4.237,-4.083,-4.756,-3.493,-2.428,-2.334,-1.774,-1.718,-8.164,-4.237,-3.952,-7.453,-4.148,-3.456,-4.37,-16.45,-2.18,-2.18,-1.83,-2.89,-0.91,-0.92,-1.45,-1.44,-4.78,-2.4,-2.37,-7.22,1.77,0.49,0.31
1,2,2,0.832,8.168,-0.046,1.179,7.383,3.724,3.659,0.435,0.744,-0.15,0.481,0.473,0.488,0.411,0.768,0.171,0.24,0.264,0.504,3.879,3.504,1.957,1.922,1.767,1.737,4.725,1.17,0.431,0.738,2.393,2.332,0.482,-0.742,6.153,-0.762,-0.721,3.106,3.047,-1.686,-1.7,-1.672,-0.446,-2.123,-1.202,-2.133,-2.112,-1.22,-1.185,-0.99,-1.009,-0.968,-0.991,-1.202,-2.123,-1.686,-0.742,-0.876,-0.905,-0.848,0.459,-0.806,-0.988,-0.835,-0.777,-1.017,-0.96,-0.57,-0.602,-0.534,-0.877,-0.807,-0.978,-0.571,-8.428,16.085,-4.115,-4.315,-4.813,-3.547,-2.344,-2.474,-1.737,-1.809,-8.289,-3.975,-4.367,-8.297,-4.076,-4.227,-4.38,-16.56,-2.19,-2.19,-1.83,-2.92,-0.92,-0.91,-1.45,-1.47,-4.77,-2.37,-2.41,-7.18,1.77,0.54,0.32
1,2,2,0.909,8.091,0.031,2.173,7.35,3.863,3.487,0.146,2.027,-0.025,0.484,0.436,0.532,0.825,1.348,0.119,0.705,0.027,1.321,3.926,3.424,2.061,1.865,1.802,1.622,4.684,2.157,0.146,2.011,2.519,2.164,1.218,-0.776,6.109,-0.89,-0.649,3.223,2.886,-1.716,-1.794,-1.629,-0.485,-2.118,-1.255,-2.179,-2.051,-1.35,-1.146,-1.04,-1.152,-0.915,-1.058,-1.266,-2.124,-1.724,-0.789,-0.885,-1.046,-0.722,0.452,-0.816,-0.994,-0.977,-0.653,-1.155,-0.832,-0.6,-0.79,-0.405,-0.902,-0.832,-0.985,-0.629,-8.305,16.261,-3.693,-4.83,-4.811,-3.445,-2.11,-2.856,-1.56,-1.95,-7.807,-3.189,-5.343,-7.875,-3.624,-4.449,-4.28,-15.14,-2.15,-2.14,-1.85,-2.73,-0.95,-0.91,-1.33,-1.42,-4.5,-2.19,-2.37,-7,1.77,0.86,0.37
1,2,2,0.882,8.118,0.004,1.43,7.371,3.772,3.599,0.277,1.153,-0.131,0.476,0.458,0.494,0.47,0.96,0.135,0.335,0.142,0.818,3.892,3.479,1.989,1.902,1.782,1.697,4.713,1.417,0.275,1.141,2.438,2.275,0.538,-0.759,6.128,-0.734,-0.782,3.019,3.109,-1.699,-1.734,-1.662,-0.458,-2.126,-1.221,-2.153,-2.097,-1.265,-1.175,-1,-1.054,-0.95,-1.004,-1.223,-2.127,-1.701,-0.759,-0.875,-0.948,-0.803,0.466,-0.809,-0.98,-0.882,-0.737,-1.054,-0.907,-0.57,-0.654,-0.481,-0.878,-0.812,-0.97,-0.576,-8.424,15.818,-3.979,-4.482,-4.811,-3.55,-2.255,-2.581,-1.691,-1.871,-8.268,-3.728,-4.73,-8.077,-4.112,-3.973,-4.34,-16.11,-2.18,-2.17,-1.83,-2.85,-0.92,-0.91,-1.41,-1.44,-4.71,-2.31,-2.39,-7.17,1.78,0.59,0.33
1,2,2,0.835,8.165,-0.043,1.384,7.385,3.793,3.592,0.214,1.17,-0.119,0.478,0.453,0.502,0.466,0.918,0.119,0.346,0.095,0.823,3.899,3.485,2.004,1.896,1.789,1.696,4.725,1.373,0.213,1.16,2.457,2.268,0.487,-0.738,6.157,-0.738,-0.738,3.078,3.079,-1.696,-1.742,-1.647,-0.459,-2.122,-1.22,-2.157,-2.085,-1.278,-1.159,-1.01,-1.071,-0.935,-1.015,-1.223,-2.124,-1.699,-0.738,-0.871,-0.962,-0.78,0.471,-0.808,-0.972,-0.899,-0.717,-1.062,-0.881,-0.56,-0.672,-0.456,-0.876,-0.813,-0.962,-0.569,-8.479,15.679,-3.943,-4.605,-4.825,-3.585,-2.229,-2.644,-1.685,-1.925,-8.438,-3.656,-4.974,-8.344,-4.173,-4.171,-4.35,-16.09,-2.18,-2.18,-1.84,-2.86,-0.93,-0.91,-1.4,-1.46,-4.68,-2.29,-2.43,-7.14,1.78,0.69,0.33
1,2,3,0.824,8.176,-0.054,0.866,7.386,3.623,3.763,0.621,0.245,-0.191,0.475,0.488,0.462,0.38,0.486,0.262,0.117,0.358,0.128,3.876,3.51,1.884,1.992,1.739,1.771,4.747,0.848,0.609,0.239,2.308,2.439,0.635,-0.812,6.144,-0.766,-0.855,3.011,3.134,-1.754,-1.723,-1.785,-0.518,-2.176,-1.288,-2.16,-2.192,-1.249,-1.327,-1.05,-1.003,-1.092,-1.052,-1.289,-2.177,-1.755,-0.814,-0.973,-0.911,-1.035,0.348,-0.918,-1.061,-0.847,-0.988,-1.013,-1.11,-0.67,-0.597,-0.745,-0.975,-0.922,-1.059,-0.674,-7.591,21.224,-3.977,-3.636,-4.222,-3.308,-2.224,-2.016,-1.717,-1.595,-7.085,-3.866,-3.274,-7.568,-3.928,-3.663,-4.21,-14.26,-2.1,-2.11,-1.78,-2.73,-0.87,-0.91,-1.39,-1.33,-4.52,-2.3,-2.23,-7.23,1.76,0.32,0.41
